                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2596,                 1.7458,                 1.4251,                0.59878,                0.53461,                 0.5599,                0.29411,                 1.4573,                 1.7923,                 1.6088,              0.0006659,              0.0006659,              0.0006659
                      2,                 1.4663,                 1.7698,                 1.5931,                0.54928,                0.54983,                0.53533,                0.27593,                 1.4738,                 1.6763,                 1.6199,              0.0013194,              0.0013194,              0.0013194
                      3,                 1.4825,                 1.7501,                 1.6142,                0.67582,                0.54673,                0.60503,                0.31585,                 1.5441,                 1.6906,                 1.6444,              0.0019597,              0.0019597,              0.0019597
                      4,                 1.4611,                 1.6903,                 1.5973,                0.68237,                0.54952,                0.61925,                0.34856,                 1.4297,                 1.5049,                 1.5608,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4325,                 1.6442,                 1.5776,                0.68489,                0.58161,                0.64154,                0.34088,                 1.4595,                 1.4664,                 1.5625,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4008,                 1.6014,                 1.5487,                0.69398,                0.60455,                0.67001,                0.38227,                 1.3287,                 1.3989,                 1.4792,               0.001901,               0.001901,               0.001901
                      7,                 1.3616,                 1.5208,                 1.5152,                0.69807,                0.58963,                0.65905,                0.38068,                 1.3504,                  1.417,                 1.4796,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3316,                 1.4734,                 1.4934,                 0.6993,                0.62944,                0.68095,                 0.3978,                  1.347,                 1.3548,                 1.4829,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3002,                 1.4468,                 1.4798,                0.72939,                 0.6535,                0.71068,                0.42578,                 1.3043,                 1.2442,                 1.4503,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2861,                 1.4245,                 1.4689,                0.75756,                0.64113,                0.72015,                0.43416,                 1.2708,                 1.2564,                 1.4216,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2597,                 1.3756,                 1.4475,                0.72884,                0.64273,                0.70908,                0.42058,                 1.2864,                 1.3184,                 1.4348,               0.001802,               0.001802,               0.001802
                     12,                  1.253,                 1.3716,                 1.4444,                0.75038,                0.61215,                0.70359,                 0.4242,                 1.2794,                 1.2719,                 1.4028,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2343,                 1.3532,                 1.4356,                0.76386,                0.66173,                0.73744,                0.44876,                 1.2693,                 1.1798,                 1.4115,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2431,                 1.3405,                 1.4412,                0.75603,                0.65659,                0.73843,                0.47035,                 1.2133,                  1.154,                 1.3622,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2204,                 1.3047,                 1.4209,                0.75616,                0.65827,                0.72763,                0.46117,                 1.2015,                 1.1552,                 1.3468,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2061,                 1.2879,                 1.4154,                0.77241,                0.67603,                0.75892,                0.47782,                 1.1999,                 1.1115,                 1.3492,               0.001703,               0.001703,               0.001703
                     17,                 1.1944,                 1.2747,                 1.4066,                0.79302,                0.67232,                0.75771,                0.47813,                 1.1867,                  1.102,                 1.3488,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1882,                 1.2773,                 1.4071,                0.78511,                0.66677,                0.75706,                0.47666,                  1.191,                 1.1131,                 1.3513,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1807,                  1.247,                 1.3949,                 0.7857,                0.66741,                0.74854,                0.47159,                 1.2052,                   1.12,                 1.3638,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1761,                 1.2445,                 1.3886,                0.79639,                0.67973,                0.76297,                0.48581,                 1.1733,                 1.0789,                 1.3415,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1568,                  1.229,                 1.3779,                0.77473,                0.67726,                0.75675,                0.47917,                 1.1843,                 1.0979,                 1.3495,               0.001604,               0.001604,               0.001604
                     22,                 1.1434,                 1.2049,                  1.367,                0.78769,                0.67603,                0.77092,                 0.4852,                 1.1762,                 1.0664,                 1.3336,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1352,                 1.1911,                 1.3678,                0.77784,                0.66183,                 0.7568,                0.47241,                 1.1863,                 1.1137,                 1.3527,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1337,                 1.1785,                 1.3585,                0.78651,                0.69701,                0.77371,                0.49906,                 1.1582,                 1.0472,                 1.3311,              0.0015446,              0.0015446,              0.0015446
